685 695 50 0 100.00
79
包头		   3		 C		正常		 147		  36		
包头		   4		 C		正常		 212		  36		
包头		   6		 C		正常		 157		  36		
包头		   8		 C		正常		 163		  36		
包头		  15		 C		正常		 248		  36		
包头		  16		 C		正常		 132		  36		
包头		  17		 C		正常		 255		  36		
包头		  18		 C		正常		 264		  36		
包头		  20		 C		正常		 291		  36		
包头		  21		 C		正常		 267		  36		
包头		  24		 C		正常		 268		  36		
包头		  27		 C		正常		 232		  36		
包头		  28		 C		正常		 232		  36		
包头		  32		 C		正常		  71		  36		
包头		  33		 C		正常		 241		  36		
包头		  34		 C		正常		 238		  36		
包头		  36		 C		正常		 191		  36		
包头		  37		 C		正常		  73		  36		
包头		  38		 C		正常		 205		  36		
包头		  39		 C		正常		 155		  36		
包头		  40		 C		正常		  58		  36		
包头		  46		 C		正常		 228		  36		
包头		  51		 C		正常		 158		  36		
包头		  52		 C		正常		 290		  36		
包头		  53		 C		正常		  45		  36		
包头		  55		 C		正常		 265		  36		
包头		  57		 C		正常		 172		  36		
包头		  58		 C		正常		 176		  36		
包头		  62		 C		正常		 271		  36		
包头		  63		 C		正常		 183		  36		
包头		  64		 C		正常		 210		  36		
包头		  66		 C		正常		 228		  36		
包头		  67		 C		正常		 277		  36		
包头		  83		 B		正常		 231		  36		
包头		  84		 B		正常		 287		  36		
包头		  86		 B		正常		 229		  36		
包头		  87		 B		正常		 270		  36		
包头		  88		 B		正常		 269		  36		
包头		  90		 B		正常		 255		  36		
包头		 183		 B		正常		 256		  36		
包头		 184		 B		正常		 241		  36		
包头		 187		 B		正常		 285		  36		
包头		 189		 B		正常		 243		  36		
包头		 191		 B		正常		 253		  36		
包头		 192		 B		正常		 279		  36		
包头		 193		 B		正常		 287		  36		
包头		 194		 B		正常		 257		  36		
包头		 201		 B		正常		 228		  36		
包头		 203		 B		正常		 255		  36		
包头		 205		 B		正常		 281		  36		
包头		 206		 B		正常		 243		  36		
包头		 207		 B		正常		 249		  36		
包头		 208		 B		正常		 280		  36		
包头		 210		 B		正常		 140		  36		
包头		 212		 B		正常		 210		  36		
包头		 213		 B		正常		 244		  36		
包头		 214		 B		正常		 292		  36		
包头		 215		 B		正常		 277		  36		
包头		 216		 B		正常		 284		  36		
包头		 217		 B		正常		 269		  36		
包头		 218		 B		正常		 272		  36		
包头		 219		 B		正常		 271		  36		
包头		 221		 B		正常		 280		  36		
包头		 222		 B		正常		 280		  36		
包头		 223		 B		正常		 254		  36		
包头		 224		 B		正常		 276		  36		
包头		 225		 B		正常		 238		  36		
包头		 226		 B		正常		 253		  36		
包头		 227		 B		正常		 260		  36		
包头		 228		 B		正常		 263		  36		
包头		 229		 B		正常		 228		  36		
包头		 230		 B		正常		  55		  36		
包头		 231		 B		正常		 244		  36		
包头		 232		 B		正常		 232		  36		
包头		 233		 B		正常		 253		  36		
包头		 236		 B		正常		 247		  36		
包头		 237		 B		正常		 218		  36		
包头		 238		 B		正常		 178		  36		
包头		 240		 B		正常		  85		  36		
