0
100
包头	1	C	杂质	163	36
包头	2	C	杂质	235	36
包头	5	C	杂质	242	36
包头	7	C	杂质	75	36
包头	9	C	杂质	154	36
包头	10	C	杂质	262	36
包头	11	C	杂质	272	36
包头	12	C	杂质	261	36
包头	13	C	杂质	96	36
包头	14	C	杂质	67	36
包头	19	C	杂质	71	36
包头	22	C	杂质	73	36
包头	23	C	杂质	83	36
包头	25	C	杂质	58	36
包头	26	C	杂质	265	36
包头	29	C	杂质	231	36
包头	30	C	杂质	220	36
包头	31	C	杂质	52	36
包头	35	C	杂质	164	36
包头	41	C	杂质	173	36
包头	42	C	杂质	153	36
包头	43	C	杂质	256	36
包头	44	C	杂质	235	36
包头	45	C	杂质	78	36
包头	47	C	杂质	158	36
包头	49	C	杂质	271	36
包头	50	C	杂质	73	36
包头	54	C	杂质	172	36
包头	56	C	杂质	269	36
包头	59	C	杂质	230	36
包头	60	C	杂质	130	36
包头	61	C	杂质	225	36
包头	65	C	杂质	201	36
包头	72	A	杂质	211	36
包头	73	A	杂质	270	36
包头	82	A	杂质	266	36
包头	85	B	杂质	271	36
包头	89	B	杂质	270	36
银和	91	A	杂质	107	36
银和	92	A	杂质	80	36
银和	93	A	杂质	60	36
银和	94	A	杂质	104	36
银和	95	A	杂质	211	36
银和	97	A	杂质	220	36
银和	98	A	杂质	240	36
银和	99	A	杂质	289	36
银和	100	A	杂质	75	36
银和	109	B	杂质	268	36
银和	123	B	杂质	119	36
银和	127	B	杂质	291	36
银和	129	B	杂质	194	36
银和	130	B	杂质	290	36
银和	131	B	杂质	294	36
银和	134	B	杂质	170	36
银和	136	B	杂质	287	36
银和	140	B	杂质	287	36
银和	142	B	杂质	286	36
银和	143	B	杂质	293	36
银和	145	B	杂质	288	36
银和	148	B	杂质	273	36
银和	154	B	杂质	268	36
银和	155	B	杂质	264	36
银和	156	B	杂质	94	36
银和	157	B	杂质	108	36
银和	158	B	杂质	267	36
银和	160	B	杂质	276	36
银和	162	B	杂质	83	36
银和	165	B	杂质	144	36
银和	166	B	杂质	238	36
银和	178	C	杂质	269	36
包头	181	B	杂质	67	36
包头	182	B	杂质	283	36
包头	185	B	杂质	233	36
包头	186	B	杂质	255	36
包头	188	B	杂质	275	36
包头	190	B	杂质	254	36
包头	195	B	杂质	273	36
包头	196	B	杂质	280	36
包头	197	B	杂质	286	36
包头	198	B	杂质	290	36
包头	199	B	杂质	284	36
包头	200	B	杂质	268	36
包头	202	B	杂质	192	36
包头	204	B	杂质	277	36
包头	209	B	杂质	190	36
包头	211	B	杂质	130	36
包头	220	B	杂质	285	36
包头	234	B	杂质	243	36
包头	235	B	杂质	199	36
包头	239	B	杂质	282	36
银和	242	C	杂质	290	36
银和	245	C	杂质	282	36
银和	246	C	杂质	292	36
银和	270	C	杂质	275	36
银和	271	C	杂质	268	36
银和	279	C	杂质	278	36
银和	287	C	杂质	276	36
银和	292	C	杂质	254	36
银和	295	C	杂质	275	36
银和	298	C	杂质	285	36
