685 695 50 100 95.00
540
包头		3601	A	杂质	174	36
包头		3601	A	杂质	117	36
包头		6501	A	正常	235	36
包头		8701	A	正常	255	36
包头		5501	A	杂质	260	36
包头		7801	A	正常	265	36
包头		4801	A	杂质	222	36
包头		7801	A	正常	49	36
包头		3601	A	杂质	83	36
包头		8701	A	杂质	172	36
包头		4801	A	杂质	246	36
包头		7801	A	杂质	40	36
包头		5501	A	杂质	273	36
包头		7801	A	杂质	161	36
包头		4801	A	正常	87	36
包头		5501	A	正常	250	36
包头		4801	A	正常	262	36
包头		7801	A	正常	260	36
包头		4801	A	杂质	90	36
包头		8701	A	正常	80	36
包头		7801	A	正常	263	36
包头		8701	A	杂质	89	36
包头		7501	A	杂质	260	36
包头		7501	A	正常	270	36
包头		7501	A	杂质	266	36
包头		6501	A	杂质	271	36
包头		3101	A	正常	53	36
包头		5401	A	正常	76	36
包头		5401	A	杂质	182	36
银和		3702	A	杂质	263	36
银和		3101	A	杂质	263	36
银和		5401	A	正常	267	36
银和		4701	A	正常	269	36
银和		3702	A	正常	259	36
银和		4701	A	杂质	267	36
银和		5001	A	正常	264	36
银和		5001	A	正常	253	36
银和		5001	A	正常	237	36
银和		5401	A	正常	263	36
银和		6401	A	正常	114	36
银和		3101	A	杂质	218	36
银和		7101	A	杂质	233	36
银和		6502	A	杂质	270	36
银和		6401	A	杂质	266	36
银和		6401	A	杂质	259	36
银和		3702	A	正常	151	36
银和		5207	A	杂质	186	36
银和		4701	A	崩边	199	36
银和		5102	A	杂质	260	36
银和		4701	A	杂质	59	36
银和		4701	A	正常	131	36
银和		4802	A	正常	263	36
银和		2301	A	正常	191	36
银和		6101	A	杂质	128	36
银和		6101	A	正常	176	36
银和		3302	A	杂质	262	36
银和		2201	A	正常	264	36
银和		3302	A	正常	234	36
银和		2201	A	杂质	225	36
银和		7701	B	杂质	232	36
银和		2201	B	杂质	261	36
银和		7201	B	正常	255	36
银和		6101	B	正常	256	36
银和		7101	B	正常	172	36
银和		4802	B	杂质	238	36
银和		6101	B	正常	82	36
银和		6101	B	正常	97	36
银和		2301	B	正常	284	36
银和		7101	B	正常	94	36
银和		2102	B	正常	64	36
银和		2302	B	正常	49	36
银和		7401	B	杂质	133	36
银和		2302	B	杂质	133	36
银和		1601	B	正常	46	36
银和		7502	B	正常	230	36
银和		1601	B	正常	50	36
银和		7602	B	正常	71	36
银和		1601	B	正常	138	36
银和		1601	B	正常	260	36
银和		7602	B	正常	199	36
